component,unique violations detected for component,report_violations,violations,true_violations,color_contrast_violations,passes detected for component ,passes,true_passes,color_contrast_passes,explanation of false violation and passes,violations from manual testing for component,manual_count
AudioPlayer,"✔ Play button: Element does not have inner text that is visible to screen readers
✔ More options button: Element does not have inner text that is visible to screen readers
✔ Sound/ mute button: Element does not have inner text that is visible to screen readers (image)",7,3,3,0,"✔ Elements must have sufficient color contrast
✔ Interactive controls must not be nested
",2,2,1,,"- Transcript is needed for audio
- Focus state in drop menu is cut off. (image)
- Can't navigate to player knob using a keyboard (image)",3
Avatar,"✔ Element has insufficient color contrast of 3.44 type: default Expected contrast ratio of 4.5:1- (image)
✔ Element has insufficient color contrast of 4.13 type: user Expected contrast ratio of 4.5:2. (image)",2,2,2,2,no passes detected,0,0,0,,no additional issues found ,0
BabyPill,no issues detected,0,0,0,0,"✘* Inline text spacing must be adjustable with custom stylesheets
✘* Elements must have sufficient color contrast
✘* Headings should not be empty
✘* Heading levels should only increase by one",4,0,0,* issue not relevant to isolated component,- Some colors are too similar hard to see that are different. (image),1
Badge,"""Element has insufficient color contrast of 
✔ 4.18 variant: info
✔ 4.07 variant:positive
✔ 3.49 variant: negative 
Expected contrast ratio of 4.5:1"". (image)
Element has insufficient color contrast of 
✔ 2.85 variant: negative + outline
✘* 1.07 variant: inverted + outline
Expected contrast ratio of 4.5:1. (light, dark)
✘** Elements must have sufficient color contrast. (image)",5,6,4,4,"✔ Elements must have sufficient color contrast
✘** Elements must only use allowed ARIA attributes
✘**ARIA role should be appropriate for the element
✘** ARIA commands must have an accessible name
✘** Required ARIA attributes must be provided
✘** ARIA roles used must conform to valid values
✘** ARIA attributes must conform to valid value
✘** ARIA attributes must conform to valid names
✘** Interactive controls must not be nested
✘** Elements should not have tabindex greater than zero",10,1,1,"* This color should only be used on a dark background, but thest is being run on a light one.
** Issue is not relevant for this component.",no additional issues found ,0
Banner,✘* Ensures every ARIA input field has an accessible name. (image),1,1,0,0,"✔ Elements must have sufficient color contrast
✔ Images must have alternate text
✔ Alternative text of images should not be repeated as text
✔ Interactive controls must not be nested",4,4,1,* Issue is related to another component used inside this one. ,no additional issues found ,0
Button,"Element has insufficient color contrast of 
✔ 3.49 variant: negative
✔ 3.91 variant: ghost-link
Expected contrast ratio of 4.5:1"". (image)
✔ Loading Button does not have inner text that is visible to screen readers. (loading btn)
✘* Icon Button does not have inner text that is visible to screen readers. (icon btn)
Element has insufficient color contrast of 
✔3.82 variant: secndary, state:active
✔3.44 variant: ghost, state:active
✔3.44 variant: ghost-alternative, state:active
Expected contrast ratio of 4.5:1",8,7,6,5,"✔ Buttons must have discernible text
✔ Elements must have sufficient color contrast
✔ Interactive controls must not be nested
✘** Inline text spacing must be adjustable with custom stylesheets

",4,3,1,"* wrong usage of component. it is possible to add aria-label or use the specific IconButton
** issue not relevant to isolated component","- Can't move keyboard focus to disabled and loading buttons.
- Pressing Space on a focused button shows pressed state, but Enter does not. There is not visual indication that the button was pressed",2
ButtonGroup,"""Element has insufficient color contrast of 
✔* 3.82 variant: secondary, state: active
✔* 3.44 variant: ghost, state: active
✔* 3.44 variant: ghost-alternative, state: active
Expected contrast ratio of 4.5:1. (image)",4,4,3,3,no passes detected,0,0,0,* Both issues are inherited from Button,"- No info provided about which button from the group is selected (aria-selected=”true/false”)
- Read as individual buttons no indication that there is a group",2
Checkbox,no issues detected,0,0,0,0,"✔ Elements must have sufficient color contrast
✔ Form field must not have multiple label elements
✔ Form elements should have a visible label
✔ Form elements must have labels
✔ Interactive controls must not be nested",5,5,1,,"- Can't navigate to disabled and read-only states
- Focus moves to hidden html native checkmark → image of the checkmark that is visible → label. (screencapture)",2
Coachmark,no issues detected,0,0,0,0,"✘* Inline text spacing must be adjustable with custom stylesheets
✘* Buttons must have discernible text
✘* Interactive controls must not be nested",3,0,0,* issue not relevant to isolated component,"- Icon button default focus would not be very visible in Coachmark. (close btn focus)
- link focus state looks different froum our other focus states. (link focus)
- When I close coachmark then focus should go back to the last element it was on before (keyboard navigation)",3
Dialog,no issues detected,0,0,0,0,"✘* Buttons must have discernible text
✘* Elements must have sufficient color contrast
✘* Interactive controls must not be nested",3,0,0,"* issues not relevant to isolated component, but only to the Button triggering the actual component. ","- Escape should be always closing - should be fixed in Modal
- Focus doesn’t move away from entry point.
- Focus is not trapped in the Dialog and I can tab to the background elements",3
Divider,no issues detected,0,0,0,0,"✘* Inline text spacing must be adjustable with custom stylesheets
✘* Elements must have sufficient color contrast
✘* Form field must not have multiple label elements
✘* Form elements should have a visible label
✘* Form elements must have labels
✘* Interactive controls must not be nested",6,0,0,* issue not relevant to isolated component,no additional issues found ,0
Dropmenu,no issues detected,0,0,0,0,"✘* Buttons must have discernible text
✘* Elements must have sufficient color contrast
✘* Interactive controls must not be nested",3,0,0,"* issues not relevant to isolated component, but only to the Button triggering the actual component. ","- Focus doesn’t move away from entry point. Can’t navigate dropmenu items.
- If I close the Dropmenu the focus should come back to previous element",
EditableText,"✔ Elements must have sufficient color contrast - error message
",2,1,1,1,"✔ Inline text spacing must be adjustable with custom stylesheets
✔ Elements must have sufficient color contrast
✔ Headings should not be empty
✔ Form field must not have multiple label elements
✔ Heading levels should only increase by one
✔ Form elements should have a visible label
✔ Form elements must have labels",7,7,1,,- Screenreader does not read the error text ,1
FeedbackModal,no issues detected,0,0,0,0,"✘* Buttons must have discernible text
✘* Elements must have sufficient color contrast
✘* Interactive controls must not be nested",3,0,0,"* issues not relevant to isolated component, but only to the Button triggering the actual component. ","- Submit Button onClick is not triggered by Enter or Space (both work on Cancel)
- Select label has not connection to the element. They are read separately.",1
